"rank","slug","source","n_jobs","top_titles","sample_description","industry","confidence"
"18","five-below","linkedin","60","PT SUPPORT LEADER | Support Lead Part Time-3038 Riverton | Support Lead Part Time | Merchandise Manager | Customer Experience Manager","At Five Below our growth is a result of the people who embrace our purpose: We know life is way better when you are free to Let Go & Have Fun in an amazing experience, filled with unlimited possibilities, priced so low, you can always say yes to the newest, coolest stuff! Just ask any of our over 17,000 associates who work at Five Below and they’ll tell you there’s no other place like it. It all s","retail_ecommerce","high"
"19","getyourguide","greenhouse","60","Accountant | AI/ML Manager, Supply Data Products | B2B Lifecycle & CRM Campaign Lead | Business Operations & Strategy Manager - Account Management Operations (Price, C | Data Engineering Manager, Supply","Change the way the world travels Join the GetYourGuide journey to connect people with unforgettable travel experiences around the world. Millions look to us for unique activities they can trust, and it’s all powered by our commitment to make every single journey extraordinary - including yours.&nbsp; Ready to unlock your potential with a community of fellow explorers? Find your next role at our Be","hospitality_food_service","high"
"20","humana","linkedin","60","UM Administration Coordinator | Senior Product Owner | Behavioral Health Medical Director - N. Central Medicaid | Utilization Management Nurse 2 | Senior Data and Reporting Professional","Become a part of our caring community and help us put health first The Accountant performs general accounting activities, including the preparation, maintenance and reconciliation of ledger accounts and financial statements such as balance sheets, profit-and-loss statements and capital expenditure schedules. Conducts or assists in the documentation of accounting projects. The Accountant work assig","finance_insurance","high"
"21","proton","greenhouse","60","Account Management Lead | Account Manager | Android Test Automation Engineer (Native App) | Backend Engineer (B2B) | Backend Engineer - Marketing Technology","About Proton Join Proton and build a better internet where privacy is the default Proton was founded in 2014 by scientists from CERN on a simple truth: privacy is a fundamental human right . Since then, we’ve built the world’s largest encrypted email service (Proton Mail) and expanded into Proton VPN, Proton Drive, Proton Pass, and Proton Calendar—tools used by millions globally to protect their f","tech_software_internet","high"
"22","usaa","linkedin","60","Property Adjuster Specialist (Field) | Entry Level Property Claims Adjuster | P&C Product Management Manager | Experienced Auto Adjuster (Non-Injury) | Claims Litigation Case Manager (Auto)","Why USAA? Let’s do something that really matters. At USAA, we have an important mission: facilitating the financial security of millions of U.S. military members and their families. Not all of our employees served in our nation’s military, but we all share in the mission to give back to those who did. We’re working as one to build a great experience and make a real impact for our members. We belie","finance_insurance","high"
"23","vaynermedia","greenhouse","60","Account Director | Account Director ( Social ) | Account Supervisor | Analyst, Finance | Art Director","What’s up? We’re VaynerMedia! We are a contemporary global creative and media agency with an expertise in driving relevance for clients and delivering impactful business results. The independently-owned agency was founded in 2009 and has offices in New York, Los Angeles, London, Singapore, Australia, Thailand, Japan and Mexico City. VaynerMedia has been recognized for its work at Cannes Lions, the","consulting_professional_services","high"
"24","kodiak","greenhouse","59","Accounting Manager | Applied AI Engineer - Flywheel Automation & Continuous Learning | Autonomy Systems Software Engineer | Build Functional Verification Technician | Class A CDL Driver","Kodiak Robotics, Inc. was founded in 2018 and has become a leader in autonomous ground transportation committed to a safer and more efficient future for all. The company has developed an artificial intelligence (AI) powered technology stack purpose-built for commercial trucking and the public sector. The company delivers freight daily for its customers across the southern United States using its a","automotive","high"
"25","meter","ashby","58","Marketing, Majors | Deployment Engineer, Network | Customer Success | Full Stack Engineer, Command | Sales, Engineering - Northern California","At Meter, we believe events can be more than just touchpoints, you are bringing Meter’s brand into real life. As Event manager, you’ll be responsible for creating and executing small and large-scale events that differentiate Meter and leave a lasting impression on customers, partners, and employees. If you’re excited to experiment with event formats, work hand-in-hand with every department in the ","tech_software_internet","high"
"26","micron-memory-malaysia-sdn-bhd","jobstreet","58","Recruiter (12 Months Contract) | Accountant (FA) | Senior/Engineer, Process Control System | PDE Product Integration Senior/Engineer | Senior Process Engineer (Wire Bond)","[Category: Engineering / Management] Responsibilities and Tasks: Lead a team to: Ensure product meets/exceeds all yield, quality, timeline commitments Debug, identify root causes, and develop solutions for failures through electrical failure analysis (EFA) and data analysis Develop, analyze, and optimize test flows in partnership with Test and Probe Protect customer experience by partnering with Q","tech_hardware_semiconductors","high"
"27","cummins-inc","linkedin","57","Production Technician III - 1st shift | Ethics and Compliance Summer 2024 Internship Positions | Forge Press Operator (2nd Shift) | DWU - SEP - 95L Assembly Associate Special Assignment - 1st shift | DWU - CEP(HDM) - Transfer Line - Machining Production Team Associate - 2nd Shift","Description Service Manager Our culture believes in POWERING YOUR POTENTIAL . We provide global opportunities to develop your career, make your community a better place and work with today’s most innovative thinkers to solve the world’s toughest problems. We believe in flexibility for you to explore your passions while making an impact through meaningful work within our inclusive workforce. That’s","manufacturing","high"
"28","floqast","lever","57","Account Executive, Canada | Account Executive, Corporate | Account Manager | Account Manager, Los Angeles | Account Manager, Northern California","The People Operations Coordinator will play a pivotal role in championing our commitment to global employee success and organizational excellence. The role will be responsible for coordinating and managing People operation programs including maintenance, development, implementation, enforcement, enablement, and enhancements. The People Operations function will be the center of maintenance for our ","tech_software_internet","high"
"29","immiland-canada-inc","lever","57","Accounting Analyst (Canada & Colombia Support) | Automobile Mechanics or Truck trailer Mechanics | Bicycle Mechanic | Business Development Representative BDR | Carpenter Foreman","We are seeking a highly skilled and proactive Senior NetSuite Administrator / Business Systems Analyst to manage and optimize our ERP ecosystem. Based in Montreal, this role is responsible for the administration, configuration, and continuous improvement of NetSuite ERP, while supporting critical integrations and business processes across the organization. The role will focus on system configurati","consulting_professional_services","medium"
"30","life-time-inc","linkedin","57","Accountant I | Summer Camp Supervisor | Personal Training Assistant Lead | Admissions Associate | Summer Camp Counselor","Position Summary The Nail Technician Provides various manicure, pedicure, and nail services and treatments that improve the guests overall sense of well-being and enhances the club experience while living the mission, vision and core values of LifeSpa and Salon. They work with the entire LifeSpa and Salon team to provide a superior experience in a professional atmosphere. Job Duties And Responsibi","hospitality_food_service","low"
"31","premiertruck","lever","57","Aftermarket Sales Representative | Aftermarket Sales Representative - Collision, Parts, and Service | Aftermarket Sales Representative - Parts, Service, and Collision | Auto Body Technician | Back Counter Parts Sales","We are so excited you are interested in our Service Technician/Diesel Mechanic opportunities! We are interested in talking with Service Technicians/Diesel Mechanics of all levels and backgrounds. Please reach out to find out more about the different roles of our Service Technicians/Diesel Mechanics and the career path we can offer you. Winners Work Here! Premier Truck Group is dedicated to ONE Net","automotive","high"
"32","applike","lever","56","(Senior) Business Analyst (f/m/d) | (Senior) DevOps Engineer (f/m/d) | (Senior) System Administrator (f/m/d) | Business Analyst | Business Talent Pool","adjoe is a leading mobile ad platform developing cutting-edge advertising and monetization solutions that take its app partners’ business to the next level. Part of the applike group ecosystem, adjoe is home to an advanced tech stack , powerful financial backing from Bertelsmann, and a highly motivated workforce to be reckoned with. Meet Your Team: Demand Integrations Team (part of the Advertising","tech_software_internet","high"
"33","peloton","greenhouse","56","Consumer Sales and Lead Generation Specialist | Copywriter II | Design Tools Application Engineer III | Director, Global Product Quality | Director, Global Quality Management Systems","THE ROLE Peloton is looking for a Mid-level Copywriter with strong copy and conceptual thinking to execute creative work across our marketing channels. From full 360 campaigns to CRM, promo, and performance –&nbsp;we need someone who sees creative opportunity in everything.&nbsp; In this role, you’ll help shape how Peloton shows up across channels, creating messaging and copy that elevates both th","consumer_brands","high"
"34","butternutbox","greenhouse","55","Accounts Payable Team Leader | Assistant Operations Manager | Brand Ambassador - Cork | Brand Ambassador (Evenementen) | Brand Ambassador (Events)","Fresh Food, Happy Dogs. We believe dogs deserve the healthiest, most natural and tastiest meals - with none of the nasties. That’s why we make FRESHly prepared food, cooked just like you would at home and delivered direct to our customers in perfect portions. As a B-Corp certified company, you’re joining a sustainable business that genuinely cares about our people, our products and our impact on t","consumer_brands","high"
"35","purplelandmgmt","lever","55","Associate Landman (Entry-Level) | Curative Landman – Permian Basin | Director of Land | Division Order Analyst – Houston, TX (On-Site) | Division Order Analyst – The Woodlands, TX (On-Site)","Are you a detail-oriented researcher who takes pride in accuracy and consistency? Do you thrive in environments where high standards, accountability, and a structured approach are key? Purple Land Management (PLM) is seeking a skilled professional who excels at reviewing runsheets and creating ownership reports on lands in East Texas and Arkansas. If you are committed to maintaining quality and fo","energy_utilities","high"
"36","theeconomistgroup","greenhouse","55","Account Executive - New Business | Administrator | Analyst, Middle East & Africa | Associate Product Manager - Subs Growth and Lifecycle | Business Development Manager","Who we are We are an organisation that exists to drive progress. That's the “red thread” that connects everyone at The Economist Group (TEG). Our businesses share a devotion to innovation, independence and rigour in their fields of expertise. We empower people to understand and tackle the critical challenges and changes facing the world. Our analytical rigour, global expertise and evidence-based i","media_entertainment","high"
"37","cologix","lever","54","** Spécialiste en HVAC ** | Account Director | Account Director, Hyperscale Sales | Account Director, Hyperscale Sales (Remote: USA) | Agent(e) de sécurité- Horaires 15h - 23h","Notre compagnie: Basée à Denver, au Colorado, Cologix est une entreprise chef de file en Amérique du Nord dans le domaine de l’interconnexion neutres réseaux et des centres de données edge hyperscale. Notre plateforme offre à nos clients un accès à plus de 45 centres de données numérique edge et hyperscale edge Scalelogix℠ répartis dans 13 marchés aux États-Unis et au Canada, ainsi qu’à un écosyst","tech_software_internet","high"
"38","guidepostmontessori","greenhouse","54","Afternoon Assistant Teacher | Assistant Director | Assistant Guide | Assistant Head of School - Mid-Levels | Assistant Spanish Teacher","Shape a child’s very first learning experiences . At Guidepost Montessori, our Lead Infant and Toddler Guides create calm, nurturing environments where infants and Toddlers are respected as capable individuals from the very beginning. If you’re passionate about early development and want to lead a thoughtfully designed classroom that supports independence, movement, and discovery, we’d love to mee","education_k12","high"
"39","windownation","lever","54","Call Center Team Lead | Canvasser - Aurora, CO Area | Canvassing Team Lead - Denver, CO Area - Urgently Hiring ! | Controller | Customer Experience Admin","Now backed by the nationwide reach of Window Nation, NewSouth Window Solutions delivers the same trusted local craftsmanship with even more opportunity to grow and innovate. At NewSouth, we’re proud to transform homes across the Southeast with high quality windows and doors designed to stand up to the region’s climate and elevate everyday living. For years, homeowners have chosen NewSouth for our ","real_estate_construction","high"
"40","manpowergroup","linkedin","52","Sr Professional Recruiter (Remote) - RPO Consultant | Automation Specialist | Environmental Sustainability Intern | Senior ESH Specialist - Air | Corporate Project Engineer","Description A Recruiter is responsible for putting people to work, helping them get ahead, and connecting their skills to clients. Drives all aspects of the full cycle recruitment process while providing an exceptional experience and service to our candidates, associates, and clients.Making an Impact • Identify, assess, place, and manage and advance a diverse talent portfolio of associates and pro","consulting_professional_services","high"
"41","myodetox","lever","52","Chiropractor | Chiropractor - West Hollywood | Chiropractor - Flatiron, NYC | Chiropractor - Calgary Talent Pool | Chiropractor - LA (Join the Talent Pool!)","At Myo, our mission is to raise body IQ globally. We aim to empower clients with the tools they need to move better, feel better, and do what they love—longer. We envision a world where everyone feels empowered to care for their bodies with clarity and confidence. Who We Are Myo is modern physical therapy to futureproof your body. Through 1:1 expert care, our team of physiotherapists, chiropractor","healthcare_provider","high"
"42","quenchwater","lever","52","Bilingual Customer Care Representative | Bilingual Field Service Technician | Field Account Executive (Territory Manager) - Atlanta | Field Account Executive (Territory Manager) - New York City | Field Sales Account Executive","About Culligan Quench Culligan Quench’s purpose is to impact people’s lives and improve the earth by helping to eliminate the 500 million plastic bottles consumed each year. We play a front-line role in the battle against single-use plastic water bottles by delivering on-demand filtered water solutions to more than 120,000 healthy and environmentally conscious customers across North America. Our b","consumer_brands","low"
"43","Ridealso","ashby","51","Staff Power Electronics Engineer | Vehicle Product Design Architecture, Integration Lead | Motor Controls Engineer | Sr. Staff Electrical Engineer, Vehicle Architecture | Staff Reliability Engineer","About ALSO. We’re ALSO, an electric mobility company originally conceived as a part of Rivian. We’re a passionate team of builders, dreamers, doers and innovators, focused on creating entirely new (not to mention, innovative and delightful) vertically integrated, small EVs designed to meet the global mobility challenges of today and tomorrow. Our mission is to inspire everyone to ride ALSO—replaci","automotive","medium"
"44","allegiantair","lever","51","Agent, Customer Assistance | Agent, Customer Service/Ground Operations | Airport Contract Analyst | Charter Ramp Representative - CVG | Charter Ramp Representative - IWA","Summary Senior Tax Accountant will support the Tax Manager and assist with ensuring accurate and timely completion of tax provisions and compliance. The role will assist in fostering a positive team environment and ensuring completion of day-to-day operations in the Corporate Accounting Department. This position requires the highest level of professionalism, confidentiality, and integrity from an ","transportation_logistics","high"
"45","appsflyer","greenhouse","51","Account Executive China | Account Manager | Agency Alliances Manager EMEA | Backend Engineer | Brand & Communications Manager - GCR","AppsFlyer builds technology at massive scale, powering measurement, analytics, and fraud prevention across billions of mobile events every day. Join AppsFlyer’s Security SDK Team, responsible for protecting the integrity and authenticity of our mobile SDKs across Android and iOS. The team works on securing SDK communication, improving SDK resilience, and building trusted solutions that run on bill","tech_software_internet","high"
"46","venturatravel","greenhouse","51","Accountant/Bilanzbuchhalter | Bilingual Tourism Operations Coordinator - Peru | Bonn -Tour Guide Japan German speaker | Create Your Own Travel Brand with Ventura TRAVEL – Your Idea, Your Niche, Your W | Düsseldorf -Tour Guide Japan German speaker","Join us at YALLAVENTURA Yallaventura offers authentic, immersive, and culturally rich travel experiences across North Africa and the Middle East , starting with Morocco . Our trips are designed to connect travelers with the heart of each destination through local encounters, artisan workshops, traditional cuisine, and meaningful cultural experiences. At Yallaventura, we believe travel should go be","hospitality_food_service","high"
"47","kao","greenhouse","50","Accounts Payable Team Leader | Assistant Brand Manager (Fixed Term) | Associate Director, Demand & Supply Planning | Associate General Counsel, Marketing & Trademarks | Ausbildung zum Industriekaufmann / zur Industriekauffrau (m/w/d)","Kao Professional Hair Brands - Sales Representative VIC, Melbourne / Southeast​ Work with Goldwell, Oribe, KMS &amp; Kerasilk ​ Full Time | Field Based | $75–80K + Commission + Car Allowance​ ​ Step into a role where your passion for hair meets high-performing brands. ​ If you’ve worked in or around the salon industry, you already know our brands. Goldwell. Oribe. KMS. Kerasilk.​ Now’s your chance","consumer_brands","high"
"48","waremalcomb","lever","50","Accounting Intern | Administrative Assistant | Associate Engineer, Civil Engineering | Business Operations Manager, MEP & Structural Engineering | Civil Engineering Manager","Are you ready to join a growth-oriented team where creativity meets innovation? At Ware Malcomb, we are a dynamic and forward-thinking design firm committed to pushing the boundaries. Our team-oriented, collaborative approach ensures that every project is a blend of visionary design, seamless project delivery, and we are actively engaged with both the community and the industry. Discover our vibra","consulting_professional_services","high"
"49","digicert","greenhouse","49","Account Manager, Enterprise | Application Security Engineer | Associate Authentication Analyst (Chinese Speaker) | Associate Customer Success Manager | Associate Software Engineer","Who we are DigiCert is a global leader in intelligent trust. We protect the digital world by ensuring the security, privacy, and authenticity of every interaction. Our AI-powered DigiCert ONE platform unifies PKI, DNS, and certificate lifecycle management, to secure infrastructure, software, devices, messages, AI content and agents. Learn why more than 100,000 organizations, including 90% of the F","tech_software_internet","high"
"50","sunway-medical-centre-sdn-bhd","jobstreet","49","Senior Executive, Credit Control | Executive Secretary | Finance assistant (6 months contract) | Executive, Medical Affairs | Business Office Assistant","[Category: Call Centre & Customer Service / Management & Support] Job Purpose To manage and lead the Customer Service personnel to provide excellent customer care and services in achieving the Corporation’s objectives and mission through working with all stakeholders in insuring Customers’ satisfaction and retention Lead and manage the Customer Service department towards achieving continuous impro","healthcare_provider","high"
"51","penske-logistics","linkedin","48","Truck Driver - CDL Class A - Penske Logistics | Truck Driver - CDL Class B - Penske Logistics | Truck Driver - Local Class B - Penske Logistics | Truck Driver - Local Class A - Average $85000 Annually - Penske Logistics | Shipping & Receiving Clerk - 1st Shift","Location: St. Louis, MO Position Summary: The Senior Engineer is responsible for preparing logistics analysis and engineering work involving all aspects of transportation, and warehouse design. They design, develop or implement comprehensive supply chain solutions to solve complex supply chain initiatives or problems, for customers, development activities and request for proposals. These solutions","transportation_logistics","high"
"52","redhorsecorp","lever","48","Application Development Lead | Artificial Intelligence (AI) & Data Engineering SME Support | Artificial Intelligence/Machine Learning (AI/ML) Engineer | Case Support Manager | Chief Architect","About the Organization Now is a great time to join Redhorse Corporation. We are a solution-driven company delivering data insights and technology solutions to customers with missions critical to U.S. national interests. We’re looking for thoughtful, skilled professionals who thrive as trusted partners building technology-agnostic solutions and want to apply their talents supporting customers with ","defense_aerospace","high"
"53","anavationllc","lever","47","AnaVation General Consideration | Anti-Phishing Training Analyst | Associate Financial Analyst | Budget Analyst | Cloud Engineer","Be Challenged and Make a Difference In a world of technology, people make the difference. We believe if we invest in great people, then great things will happen. At AnaVation, we provide unmatched value to our customers and employees through innovative solutions and an engaging culture. Description of Task to be Performed: AnaVation is seeking a Senior Web Application Developer to design, test, an","defense_aerospace","high"
"54","financialtimes33","greenhouse","47","Account Coordinator - 12 Month FTC | Account Manager - 12 Month FTC | Acting Deputy Editor, House & Home | Central Europe Correspondent | Credit Controller","About Us The Financial Times is one of the world’s leading news organisations, globally recognised for its authority, integrity and accuracy, with a mission to deliver quality information and services worldwide. At the FT, curiosity thrives and ambitious thinking is rewarded. Here, you’re given the chance to reach millions, create work that matters and deliver impartial journalism in a polarised w","media_entertainment","high"
"55","freeformfuturecorp","greenhouse","47","Additive Manufacturing Development Engineer | Additive Manufacturing Technician (Post Processing Operations) | Associate CNC Machinist (Mill) | Controller | Deburr Technician (Additive Manufacturing)","CONTROLLER &nbsp; Freeform&nbsp;builds AI-native manufacturing systems that unify software, hardware, and physics to produce industrial-scale parts at the speed of human ideation. By treating manufacturing as a single integrated system, we unlock a new era of innovation where complex hardware is designed, built, and scaled without limits. &nbsp; As&nbsp;Freeform’s&nbsp;Controller, you will&nbsp;ow","manufacturing","high"
"56","nex","greenhouse","47","2D Game Art Intern | 3D Game Art Intern | 3D Game Artist | Art Director | Associate Manager, CRM","Nex is on a mission to help families rediscover the joy of movement. Created by parents for parents, Nex combines technology and play to deliver fun, social, and interactive experiences powered by natural body motion, encouraging kids and adults to move more, play more, and have fun together. Nex Playground, the company’s award-winning active play system, is purpose-built to get families moving ye","gaming","high"
"57","topgolf","linkedin","47","Dishwasher | Team Lead | Golf Services Associate | Cook | Food Runner","Job Responsibilities Prepare and cook food items according to standardized recipes and menu specifications.Follow proper food safety and sanitation procedures to ensure food quality and safety.Adhere to portion control guidelines and presentation standards.Collaborate with kitchen team members to coordinate food preparation and order execution.Maintain a clean and organized kitchen area, including","hospitality_food_service","high"
"58","carecom","greenhouse","46","Architect | Care Specialist | Childcare Provider (U.S. Locations) | Creator in Residence - Video, Social-First | Customer Service","About Care.com &nbsp; Care.com is a consumer tech company with heart. We’re on a mission to solve a human challenge we all face: finding great care for the ones we love. We’re moms and dads and pet parents. We have parents and grandparents so we understand that everyone, at some point in their lives, could use a helping hand. Our culture and our products reflect that.&nbsp;&nbsp; Care.com offers a","tech_software_internet","high"
"59","dhl-supply-chain","linkedin","46","Group Coordinator Lead | Maintenance Supervisor | Inventory Control Clerk | Operations Assistant | Yard Driver NON DOT","This position requires processing and reconciling supplier invoices, supporting accounts receivable, supporting month-end closing, adhoc reports, and other responsibilities asigned by the manager. Role Purpose: Responsible for timely processing of all aspects of payables and/or receivables. Key Accountabilities: Vendor, customer, and employee setup in Oracle.Enter payable, billing invoices, and pr","transportation_logistics","high"
"60","salonkee","ashby","46","Customer Support - German Speaking | Customer Onboarding Specialist (w/m/d) - Münster | Sales Manager im Außendienst (w/m/d) - Hannover | Customer Onboarding Specialist (w/m/d) - Raum Münster | Senior Fullstack Developer (Node.js / Angular)","Über Salonkee Wir sind eines der am schnellsten wachsenden SaaS-Unternehmen Europas und das digitale Herz der Friseur- und Beauty-Salons. Von smarter Terminplanung und Payments bis hin zu KI-gestütztem Reporting: Wir geben Salons die Tools, die sie brauchen, um als modernes Business zu glänzen. Wir verbinden Software mit Fintech und Automatisierung. Unser Ziel? Selbstständigen Unternehmer:innen de","tech_software_internet","high"
"61","skydropx","ashby","46","Postúlate aquí | UX Researcher | Ejecutivo de Ventas (Tampico) | Sales Lead | Customer Service Specialist (Tampico)","Responsabilidades e Atribuições: Criar textos e mensagens para campanhas de marketing, performance, CRM, comunicação institucional, eventos, redes sociais e materiais comerciais. Desenvolver copies para anúncios, landing pages, e-mails, WhatsApp, push notifications, banners, roteiros de vídeo, apresentações, webinars, materiais para eventos e peças de comunicação interna. Trabalhar em conjunto com","tech_software_internet","high"
