rank,slug,source,n_jobs,top_titles,sample_description,industry,confidence
379,miso,ashby,22,Product Operations Manager | Operations Intern (정규직 전환형) | Customer Sales Supervisor | Growth Marketer | 인터넷 고객상담 (Customer Sales),"Mission ‘We build technology that makes everyday offline better’ ‘현실의 삶을 개선하는 기술을 만듭니다.’ 미소의 미션입니다. 우리는 미소를 사용하는 사람들의 실제 오프라인에서의 삶이 더 나아지길 바랍니다. Miso의 문화를 한 마디로 말하면 “올바른 일을 열심히 한다 (work hard on the right things.)"" 입니다. 이를 위해 우리는 고객을 가장 먼저 생각하고, 무엇을 할 것인지 말을 하고 그것을 실제로 해내며, 가장 높은 기준을 갖고 있습니다. [미소는 어떤 곳인가요?] 미소는 국내 No.1 O2O 홈서비스 플랫폼 기업이에요. ""Hotel-like service in your home(집에서도 호텔같은 서비스를)"" 이라는 비전 아래,",tech_software_internet,low
400,sage49,greenhouse,22,"Business Development Executive | Business Development Executive (Central - TX) | Business Development Executive (Florida) | Business Development Executive (OR, WA) | Chief of Staff","About Us Sage is on a mission to improve care and quality of life for older adults, starting with those residing in senior living facilities. Falls are the leading cause of injury-related death among adults over 65. And yet, fall prevention and emergency response systems for older adults are archaic and ineffective. At Sage we've built a more modern way of understanding when older adults need help",other,low
443,example,greenhouse,21,Account Director | Account Executive | App Platform Software Engineer | Business Development Representative | Director of People,"Who this job is right for Aliquam in fringilla velit. Aliquam luctus tincidunt magna non accumsan. Curabitur vehicula neque vitae sapien tempus euismod. Curabitur condimentum, dui ac egestas euismod, purus sapien vehicula augue, quis porta metus mi eget quam. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam vitae felis nulla. Cras ligula felis, ",other,low
463,method,ashby,21,"Former Founder | Head of Customer Success | Enterprise Account Executive | Enterprise Account Executive, Commerce | Finance and Business Operations Lead","Meet Method Method has built the most modern way to connect to consumer financial accounts. Combining real-time liability connectivity with instant payment execution, Method’s API is designed to make it easy for people to connect their financial accounts to the apps and services they want to use. We have helped 45+ million users connect 350+ million liability accounts credential-less and processed",tech_software_internet,low
521,atolls,greenhouse,20,Account Manager - Spanish Speaker (m/f/x) | Client Growth Consultant - Spanish Speaker | Frontend Engineer (m/f/x) | Frontend Engineer (Vue.js) (m/f/x) | Future Opportunities - Join Atolls - Talent Community (m/f/d),"Atolls is the world’s largest community-driven shopping platform, active in 20+ markets.&nbsp; We help millions make smarter spending decisions across discovery, evaluation, and (re-)purchase by connecting people with the right brands and retailers. Our 1,000+ team across 10 countries builds products used every day at global scale, where you’ll have real ownership and see your impact. Want to shap",tech_software_internet,low
557,ilia,greenhouse,20,Data Engineer | Especialista Salesforce Data Cloud | JR Desenvolvimento Back-end (Java) | Líder de Projetos | PL Agile Coach,"Aqui na ília nossas vagas estão sempre abertas para todas as pessoas e não se restringem quanto a gênero, etnia, orientação sexual, fatores sociais, condições físicas ou intelectuais (PCD) etc. Incentivamos a candidatura de integrantes de todos os grupos minoritários! Sobre a ília Somos especialistas em tecnologia, dados e design, impulsionando a transformação digital de grandes players do mercado",consumer_brands,low
559,instead,greenhouse,20,Director of Data and Analytics | Director of DevOps | Director of People Operations | Director of Talent Acquisition | Executive Assistant,"About Instead Instead is a tax platform designed to help taxpayers and tax professionals collaborate to save money on taxes. As the first company in decades to receive IRS approvals to E-file 1040, 1041, 1120, 1120S, and 1065 — we're re-inventing a complex category. Founded in 2023, Instead combines LLMs with tax law to make tax management a continuous, proactive process rather than a dreaded annu",tech_software_internet,low
604,sana-roles,ashby,20,GTM Associate | GTM Manager (Account Executive) | Design Engineer | Future Opportunities | Frontend Engineer,"About Sana Sana is an AI lab building superintelligence for work. We believe organizations can accomplish their missions faster when teams can effortlessly access knowledge, automate repetitive work, and learn anything with the help of agentic AI. As part of Workday, we are committed to building AI that augments people. If that’s a mission that excites you, you’re in the right place. Who you will ",tech_software_internet,low
606,sent,ashby,20,"Create Your Own | VP of Finance | Recruiter | Growth Advisor, Startups | Partnerships Lead","About Sent Sent is building the messaging infrastructure that powers how businesses communicate with their customers. We provide a unified API for SMS, WhatsApp, iMessage, and RCS, making it simple for developers to reach people on any channel. We've raised $5.1M in seed funding backed by Companyon Ventures, Bessemer Venture Partners, UIF, and CEAS Investments, and we're scaling fast. This is the ",other,low
618,thepeoplebrand,lever,20,Apparel Product Developer | Chief Operating Officer (COO) | Contract Recruiter | Controller | Creative Director,"POSITION DESCRIPTION Title & Reporting Relationships Position Title: UX/UI Manager Reports to: GM eCommerce & Digital Marketing Department: Digital Oversees: None Interactions: Creative, Production, Ecom/Digital, Customer Service Main Purpose and Major Challenges of the Role Own and elevate the end-to-end digital customer experience, balancing conversion performance, brand experience, and scalabil",other,low
631,warisan-tc-holdings-bhd,jobstreet,20,IT BUSINESS ANALYST (GOVERNANCE) | Group Risk Management Manager | Finance & Administration Officer | Finance & Administration Internship | Sales Executive - Johor,"[Category: Marketing & Communications / Marketing Communications] Job Responsibilities To assist the Head of Marketing in implementing the company’s annual marketing plan. Responsible in managing marketing and branding for selected brands / products and work closely with Advertising Agency, Product Planning, Sales Planning, Suppliers and etc. to develop a 360 marketing communication strategy plan ",other,low
662,careersinfood-com,linkedin,19,Director of Procurement | Environmental Health & Sustainability Manager | Sn Accounting Manager | Brand Manager | Territory Account Manager,"Summary Reporting to the General Manager, plan, organize, manage and execute liquid egg processing operations for assigned operation. Ensure that machinery and equipment are calibrated and functioning properly. Work through supervisors to train employees on work methods and standard operating procedures. Move employees to the work to ensure efficient functioning of grading and breaking operations.",consulting_professional_services,low
680,fitt,ashby,19,Head of B2B Partnerships | Customer Success Manager | Director of Retention and Lifecycle | Head of Marketing | VP of Growth Marketing,"Fitt Talent Partners is a specialized recruitment firm working with top health and wellness companies. We’re filling this role for a fast-growing consumer brand redefining how people access and experience energy. The Opportunity This is an early, high-impact hire within a fast-moving team. You’ll have the opportunity to shape how the brand shows up across every touchpoint, building a cohesive and ",tech_software_internet,low
749,trulandequipment,greenhouse,19,Ag Sales Account Manager | Delivery Driver | General Application | Janitorial Support Person (Part-Time) | John Deere Ag Service Technician,"Grow with&nbsp; TRU LAND Equipment We’re a leading John Deere dealer with 18 locations across Indiana and Ohio, serving residential, commercial, and agricultural customers. If you’re hardworking, eager to learn, and ready to thrive in a fast-paced, team-driven environment—we want to hear from you! Purpose : Safely operate vehicles to transport equipment for the dealership.&nbsp;&nbsp; During deliv",other,low
798,focused,ashby,18,Optical Engineer (f/m/d) | Mechanical Engineer (f/m/d) | Diode Laser Engineer (f/m/d) | Controls Engineer | People Operations Intelligence Partner (f/m/d),"Company Overview Focused Energy is a pioneering fusion energy start-up committed to generating clean electrical energy to responsibly address future global demand. Founded by world-leading laser and plasma physicists together with experienced entrepreneurs, Focused Energy is developing commercial laser-induced inertial fusion technology as a clean, scalable, and economically viable power solution.",manufacturing,low
831,nirvana-kl-berhad,jobstreet,18,"Customer Service Executive/Assistant (Mandarin Speaking, Nirvana 2 KL) | Counter Customer Service Executive (Mandarin Speaking, Nirvana 2 KL) | Service & Operation Assistant (Mandarin Speaking, Nirvana 2 KL) | Admin (Customer Service) Intern (Nirvana 2 KL) | Finance (Credit Admin Recovery) Intern (Nirvana 2 KL)","[Category: Manufacturing, Transport & Logistics / Purchasing, Procurement & Inventory] ~~5 Star International Hotel Alike Working Environment~~ Free Parking at Indoor Parking Lot Meal Discount for Staff Yearly Increment and Performance Bonus Purchasing Assistant (Full Time) 1. Perform sourcing, evaluation of quotations, and issuing of purchase order to vendors. 2. Coordinate, receive, arrange, and",other,medium
862,terminix,linkedin,18,"Commercial Service Technician | Manager, Sales Intelligence & Insights (Remote) | Outside Sales Professional | Commercial Pest Technician | Commercial Sales Professional","Benefits Start Day 1 for Full-Time Colleagues - No Waiting Period! For more information about our benefits, see below! We are proud to be a member of the Rentokil family of companies, the global leader in Pest Control and other services across more than 90 countries. We pride ourselves on being a trusted partner to many of the world's leading brands and serve consumer and business customers across",other,medium
870,vizzia,ashby,18,Business Operations Manager | Business Intelligence Analyst | Product Marketing Manager - Waste Vertical (Dépôts Sauvages) | Performance Marketing Lead | Senior software engineer,"🎯 Mission Vizzia is growing — in headcount, in geographies, in entities. As a true business partner to our operational teams, not a support function. You’ll own and develop FP&A: challenging decisions, modelling the future, and giving leadership the clarity it needs to move fast without losing control. High ownership. Direct CFO proximity. No perfect playbook — yet. 🛠️ Responsibilities Monitor bud",tech_software_internet,low
914,confidencial,linkedin,17,Senior Vice President Construction | Senior Vice President Grants | Senior Vice President Housing | Senior vice president Event Management | Engineering Manager | Blockchain,"We are currently focused on building the data layer of AI with our product, a web extension that runs in a user's background and sells unused internet to artificial intelligence labs. By running a node with us, users become an integral part of AI's training process, and they are compensated accordingly. The growth of AI is a development of historic significance, and our goal is to distribute the b",other,low
931,ernestpackagingsolutions,greenhouse,17,Class A Driver | Class B Driver | Client Automation Specialist | Client Coordinator | Client Relationship Manager,"For over 80 years, Ernest has been committed to the success of our extended family, our customers, our employees, and the packaging industry itself. When you work with Ernest, you’ll enjoy the advantages of learning proven methods of success, a proactive approach, and having fun while earning what you’re worth with a lot of really awesome people. &nbsp; Position Title: &nbsp;Expeditor Location: On",manufacturing,low
958,make-rain,lever,17,"Accounting Intern | AR / AP Specialist | Electrical Engineering Intern | Electro-Mechanical Engineering Intern | Executive Business Partner, CEO","Rainmaker builds systems to make it rain. Our autonomous drone fleets and weather modification platform operate worldwide: expanding freshwater supplies, protecting agriculture, and proving that cloud seeding works at scale. You are: A seasoned software engineer with a background in drone autonomy Fast, thoughtful, autonomous, and opinionated Willing to relocate to El Segundo, California What you’",manufacturing,low
1009,times24-malaysia-sdn-bhd,jobstreet,17,Electrical Technician | Senior Software Programmer | Quality Management System Executive | Technician | HR & Admin Assistant / Executive,"[Category: Manufacturing, Transport & Logistics / Team Leaders/Supervisors] Job Description: Conduct preventive maintenance, equipment repair, and installation & dismantle tasks. Troubleshoot and diagnose complex equipment issues. Perform intermediate-level equipment repairs and replacements. Lead the installation and dismantle of equipment and machinery. Assist with preventive maintenance tasks a",manufacturing,low
1021,vibe,ashby,17,Acount Manager APAC - Performance Marketing - Mandarin speaker | Senior Customer Success Manager | Director of Product Analytics | Senior Global People Operations | Senior Site Reliability Engineer,"About Vibe At Vibe.co , we're reimagining how brands reach audiences in the age of streaming. We believe streaming TV is no longer just a brand awareness play, it's the next great performance marketing channel. We're building the infrastructure to unlock this $100B opportunity. Vibe.co provides an Audience First Streaming TV Advertising solution for marketers to unlock TV as a growth channel. Our ",tech_software_internet,low
1030,zippymh,ashby,17,Business Controls Analyst | Senior Product Manager | Senior Product Manager - Post Originations | Senior Software Engineer II | Staff Software Engineer,"Zippy was founded with one mission: to make getting a loan for a manufactured home simple, fast, and fully online. We believe modern manufactured homes are affordable, well-built, eco-friendly, and stylish, but finding a lender who understands this market can be challenging. That’s why Zippy focuses exclusively on manufactured home loans, offering a seamless, digital experience. Headquartered in D",finance_fintech,low
1036,acquisition,ashby,16,Event Specialist | Sales Development Representative (Setter) | Sales Representative (Closer) | Strategy Associate | Accounting Manager,"Role The Camera Operator is responsible for capturing high-quality, cinematic footage across live events, branded series, and internal productions. This role exists to elevate visual output beyond standard coverage by applying strong composition, camera movement, and storytelling fundamentals in fast-paced environments. This is a hands-on execution role. You are operating cameras, anticipating mom",other,low
1099,hercules,ashby,16,Customer Operations Lead | Technical Customer Support Engineer | Performance Marketing Lead (Paid Growth) | Content & Social Lead | Technical Community Lead,"What are we looking for? Hercules is looking for a senior or staff level product software engineer to help us build the future of AI software development What will you do? You will build and own user-facing features across Hercules including our AI Agent , the AI harness that enables anyone to build powerful full-stack applications App Builder, the interface that makes it ridiculously easy to buil",tech_software_internet,low
1138,optima-bio-supply-ltd,linkedin,16,data Entry | Data entry | Data Entry Clerk | data entry. | Data Entry Clerk,"Optima Bio Supply LLC is a dynamic and innovative sales company that values efficiency, accuracy, and attention to detail. We are currently seeking a Remote Data Entry Clerk to join our growing team. This is an excellent opportunity for individuals looking to kickstart their career in data management and administration. Responsibilities:Accurately enter and update data in our database systems.Perf",other,low
1157,rock-maestro-sdn-bhd,jobstreet,16,Purchasing Executive | Procurement Executive | Admin Officer | Admin Executive | ADMIN OFFCER,[Category: Accounting / Bookkeeping & Small Practice Accounting] Job Description: • Maintaining customer accounts • Generating invoices from Autocount • Raising and sending invoices to customers • Posting payments to customer accounts • Collecting payments • Matching payments to invoice numbers • Posting receipts in a timely manner • Securing revenue • Tracking overdue invoices and following up on,other,low
1170,stealth-startup,linkedin,16,Continuous Manufacturing Expert - Pharmaceuticals (Small Molecule) [5302] | Quality Control Technician [5303] | Experienced Mechanical Engineer | Quantitative Trader [5048] | Machine Learning Engineer - GenAI,"Join the team that is a leader in engineering, designing and manufacturing of leading-edge military expeditionary products and rugged industrial/commercial products since 1937.What We Offer:Health benefits, including telehealth medical services, Dental & VisionLife, AD&D & Disability (paid for by the company)401K with a company matchSafe & clean work environmentDescriptionThe Chassis Lead Engineer",other,low
1205,baselayer,greenhouse,15,Account Executive | Account Manager | Business Development Rep | Data Engineer | Lifecycle Marketer,"&nbsp; About Baselayer Trusted by 2,200+ financial institutions, Baselayer is the intelligent business identity platform that helps verify any business, automate KYB, and monitor real-time risk. Baselayer’s B2B risk solutions and identity graph network leverage state and federal government filings and proprietary data sources to prevent fraud, accelerate onboarding, and lower credit losses. &nbsp;",tech_software_internet,low
1232,creatorsworkhere,greenhouse,15,Account Manager | Business Development Representative | Customer Service Associate | Customer Service Associate - Used Trades | Fulfillment and Returns Specialist,"Our Story Scuba.com is a 1-stop destination for diving and watersports gear, offering certification classes, rentals, repairs and travel trips to divers of all levels. Established over 20 years ago, we are one of the first internet-based diver supply companies, known for combining deep industry knowledge with outstanding customer service. Our team includes highly trained and experienced scuba inst",retail_ecommerce,low
1302,mithrl,ashby,15,Business Development Representative | New Grad - Entry Level Sales Development Representative | Account Executive | Senior Software Engineer | Product Marketing Lead,"About Mithrl We envision a world where novel drugs and therapies reach patients in months, not years, accelerating breakthroughs that save lives. Mithrl is building the world’s first commercially available AI Co-Scientist—a discovery engine that empowers life science teams to go from messy biological data to novel insights in minutes. Scientists ask questions in natural language, and Mithrl answer",tech_software_internet,low
1354,searchable,ashby,15,Software Engineer | Operations Lead | Data Analyst | Content & Personal Brand Manager | YouTube Content Creator & Host,"About Searchable We're building the future of AI search visibility. As ChatGPT, Claude, and Perplexity reshape how people find information, we help brands understand and optimize their presence in this new landscape. Backed by top angels and VCs, we're creating the essential platform for the AI search era. Our core values: Move Fast We make decisions quickly and get things done. Progress matters m",tech_software_internet,low
1406,4lu44n1n37w012k,greenhouse,14,Associate Director FP&A (f/m/x) | Automation Engineer (all genders) | Director ATL Media & Connections Planning | Director of X-Channel - Performance Marketing | Freelance Translation Support – English to French (f/m/x),"About the role: What's in the Box As an Operational Excellence (OpEx) Engineer, you will play a key role in improving our end-to-end production operations in our Distribution Center (DC) in Bleiswijk, NL. You will join the Operational Excellence team, working at the heart of our production environment to identify opportunities that drive efficiency, quality, and cost improvements. You will focus o",other,low
1421,aurelian,ashby,14,Strategic Sales Northeast Region | Chief of Staff | Strategic Sales Southwest Region | Strategic Sales South Central Region | Founding Product Manager,"About Aurelian Aurelian builds AI tools that help 911 centers handle more with less, so telecommunicators can stay focused on what matters most and communities get the response they need. AVA is a conversational AI agent that answers non-emergency calls; the agent routes, triages, and resolves the calls without any human intervention. By handling administrative calls like noise complaints, lost do",tech_software_internet,low
1425,berjaya-corporation-berhad,jobstreet,14,Senior Executive – HR Business Partner | Senior Accounts Executive/Executive (Group Accounts & Budgets) | Tax Executive/Senior Executive | Manager/Assistant Manager - Corporate Finance (Group Investment) | Senior Executive – Payroll & HR Shared Services,"[Category: Accounting / Financial Accounting & Reporting] Responsibilities To prepare and review management accounts and related schedules. Liaise with external parties such as auditors, tax agents, government bodies, suppliers as well as internal clients/other departments of the Berjaya Group of Companies. Prepare and review cash flow statement and monitor cash flow. Prepare tax computations for ",other,medium
