slug,industry,confidence
vallen-usa,manufacturing,medium
vcluster,tech_software_internet,high
versapay,finance_fintech,high
viewpoint-research-corporation-sdn-bhd,consulting_professional_services,medium
virtual-network-solutions-sdn-bhd,consulting_professional_services,high
wahed.com,finance_fintech,high
walkermillerenergy,energy_utilities,high
wayne-sanderson-farms,agriculture_food_production,high
wealthfront,finance_fintech,high
wepclinical,healthcare_provider,high
west-shore-home,real_estate_construction,high
wex,finance_fintech,high
wolvgroup,real_estate_construction,high
worldklang-group-development-sdn-bhd,real_estate_construction,high
yulon-capital-sdn-bhd,finance_fintech,medium
zobility,consulting_professional_services,medium
zyphra,tech_software_internet,high
access,tech_software_internet,low
activesoft-inc,consulting_professional_services,high
adaptivebiotechnologies,healthcare_pharma_biotech,high
affinidi,tech_software_internet,high
agiloft,tech_software_internet,high
airalo,tech_software_internet,high
aiwyn,tech_software_internet,high
al-rajhi-banking-investment-corporation-malaysia-bhd,finance_banking,high
alcazar-energy,energy_utilities,high
american-electric-power,energy_utilities,high
arago,tech_hardware_semiconductors,high
arootah,consulting_professional_services,high
asml,tech_hardware_semiconductors,high
assa-abloy-group,manufacturing,high
autowell-malaysia-sdn-bhd,manufacturing,medium
balchem-corporation,manufacturing,high
beedie,real_estate_construction,high
best-eternity-recycle-technology-sdn-bhd,manufacturing,medium
bestow,finance_insurance,high
bigosmanagement,real_estate_construction,high
bitmex,finance_fintech,high
bluecubeservices,tech_software_internet,low
bmg-talent-concierge-plus-sdn-bhd,consulting_professional_services,high
boku,finance_fintech,high
bombas,consumer_brands,high
boston-consulting-group-bcg,consulting_professional_services,high
bounce,tech_software_internet,medium
brightview-landscapes,real_estate_construction,high
buildkite,tech_software_internet,high
bureau,tech_software_internet,high
bvnk,finance_fintech,high
cambiumnetworks,telecommunications,high
caseguard,tech_software_internet,high
catalent-pharma-solutions,healthcare_pharma_biotech,high
central-garden-pet,consumer_brands,high
charge-robotics,tech_hardware_semiconductors,medium
cherry-bekaert,consulting_professional_services,high
choreo,finance_fintech,high
cic,real_estate_construction,medium
cla-cliftonlarsonallen,consulting_professional_services,high
claimsorted,finance_insurance,high
clasp-group,tech_software_internet,medium
clenera,energy_utilities,high
clintonfoundation,nonprofit,high
convergentresearch,healthcare_pharma_biotech,medium
cordance,tech_software_internet,high
corti,tech_software_internet,high
cprime,consulting_professional_services,high
cuesta-partners,consulting_professional_services,high
darkroom,media_entertainment,high
deepintent,media_entertainment,high
delphint-operation-sdn-bhd,consulting_professional_services,low
delta-air-lines,transportation_logistics,high
deposco,tech_software_internet,high
designedconveyorsystems,manufacturing,high
doctronic,healthcare_provider,medium
dreams-language-academy,education_k12,medium
dynamiccatholic,nonprofit,high
edwards-lifesciences,healthcare_devices,high
elicit,tech_software_internet,high
elwyn,healthcare_provider,high
endless-trading-sdn-bhd,consulting_professional_services,low
engtal,consulting_professional_services,high
equifax,finance_fintech,high
exact-sciences,healthcare_pharma_biotech,high
exarca-inc,consulting_professional_services,high
expedia-group,tech_software_internet,high
ferrellgas,energy_utilities,high
fladger-associates,healthcare_pharma_biotech,high
foxitsoftware,tech_software_internet,high
freedomsolarpower,energy_utilities,high
ftmo,finance_fintech,high
galvany,tech_software_internet,medium
genpact,consulting_professional_services,high
greywolf-networks-sdn-bhd,consulting_professional_services,medium
gulfstream-aerospace,defense_aerospace,high
guocoland-malaysia-berhad,real_estate_construction,high
habib-group,other,low
handal-indah-sdn-bhd,transportation_logistics,high
hike-medical,healthcare_devices,medium
hivehealth,healthcare_provider,medium
honor-technology-malaysia-shd-bhd,tech_hardware_semiconductors,high
hy-vee-inc,retail_ecommerce,high
idexcel,consulting_professional_services,high
incompleteness-theorem-sdn-bhd,tech_software_internet,low
infinitus,tech_software_internet,high
intelek-talent-solutions-sdn-bhd,consulting_professional_services,high
intus,healthcare_provider,medium
invgate,tech_software_internet,high
it-resource-hunter,consulting_professional_services,high
jabil-circuit-sdn-bhd,manufacturing,high
joey-yap-research-international,other,low
john-deere,manufacturing,high
kara-marketing-m-sdn-bhd,media_entertainment,low
kerry-malaysia,agriculture_food_production,high
kodiaksolutions,healthcare_provider,high
krg-technologies-inc,consulting_professional_services,high
kyyba-inc,consulting_professional_services,high
learnupon,tech_software_internet,high
levitate,tech_software_internet,high
lightedge,tech_software_internet,high
lightning,tech_software_internet,high
lucasmuseum,nonprofit,high
mass-rapid-transit-corporation-sdn-bhd,transportation_logistics,high
mastec-communications-group,telecommunications,high
mavenclinicproviders,healthcare_provider,high
maximus,public_sector_government,high
mcdonald-s,hospitality_food_service,high
mercura,tech_software_internet,high
michigan-medicine,healthcare_provider,high
minconsult-sdn-bhd,consulting_professional_services,high
miniso-winky-m-sdn-bhd,retail_ecommerce,medium
miter,tech_software_internet,high
mizzenandmain,consumer_brands,high
mntn,media_entertainment,high
mobius,defense_aerospace,high
modernhealth,healthcare_provider,high
morgan-stanley,finance_banking,high
msrcosmos-llc,consulting_professional_services,high
mufg,finance_banking,high
naughtydog,gaming,high
neiman-marcus-group,retail_ecommerce,high
nets,consulting_professional_services,medium
nve,media_entertainment,high
okaya-infocom,consulting_professional_services,high
oligo,defense_aerospace,high
olo,tech_software_internet,high
om-materials-sarawak-sdn-bhd,manufacturing,high
omni-logistics-malaysia-sdn-bhd,transportation_logistics,high
openx,media_entertainment,high
orkin,other,medium
ormond-group-sdn-bhd,hospitality_food_service,medium
osmo,consumer_brands,medium
oulahealth,healthcare_provider,high
ownwell,real_estate_construction,high
oyster,tech_software_internet,high
paidyinc,finance_fintech,high
papa-johns,hospitality_food_service,high
paramount,media_entertainment,high
parsebiosciences,healthcare_pharma_biotech,high
paystand,finance_fintech,high
pearson,education_higher,high
pekat-group-of-companies,energy_utilities,high
percetakan-nasional-malaysia-berhad,public_sector_government,medium
placemakr,hospitality_food_service,high
polyai,tech_software_internet,high
poppulo,tech_software_internet,high
power-design-inc,real_estate_construction,high
ppfa,nonprofit,high
ppgny,healthcare_provider,high
pultegroup,real_estate_construction,high
rce-capital-berhad,finance_fintech,medium
redpine,tech_software_internet,medium
regent,other,low
remilia,tech_software_internet,medium
renaissancelearning-nam,education_k12,high
rfsmart,tech_software_internet,high
robert-walters,consulting_professional_services,high
rolandfoodsllc,agriculture_food_production,high
rovio-2,gaming,high
safebuilt,public_sector_government,high
sait,education_higher,high
samaritas,nonprofit,high
sandboxvr,media_entertainment,high
sequoia,consulting_professional_services,high
shelf,tech_software_internet,high
shopltk,media_entertainment,high
shui-xing-ventures-sdn-bhd,real_estate_construction,medium
siemens-energy,energy_utilities,high
silverlake-axis-sdn-bhd,tech_software_internet,high
software-international-corporation-m-sdn-bhd,consulting_professional_services,medium
sonatype,tech_software_internet,high
southern-california-edison-sce,energy_utilities,high
southern-company,energy_utilities,high
sparrow,tech_software_internet,medium
sprymethods,defense_aerospace,medium
srg-asia-pacific-sdn-bhd,consulting_professional_services,high
state-farm,finance_insurance,high
stateaffairs,media_entertainment,medium
stellic,tech_software_internet,high
storehub-sdn-bhd,tech_software_internet,high
stratainformationgroup,consulting_professional_services,high
stv,consulting_professional_services,high
supermetricsoy,tech_software_internet,high
syndio,tech_software_internet,high
taskrabbit,tech_software_internet,high
teamworks,tech_software_internet,high
technology-one-limited,tech_software_internet,high
tekshapers,consulting_professional_services,high
texchem-corporation-sdn-bhd,manufacturing,medium
textnow,telecommunications,high
the-exchange,retail_ecommerce,high
toradex,tech_hardware_semiconductors,high
toshiba-tec-malaysia-sdn-bhd,tech_hardware_semiconductors,high
townsquareignite,media_entertainment,high
trader2u-sdn-bhd,other,low
transcarent,healthcare_provider,high
tripalink,real_estate_construction,high
true-food-kitchen,hospitality_food_service,high
trust-wallet,finance_fintech,high
turnkey,tech_software_internet,low
udacity,education_higher,high
unitek-learning,education_higher,high
valiantys,consulting_professional_services,high
vbeyond-corporation,consulting_professional_services,high
viseai,tech_software_internet,high
vivid-telecommunication-sdn-bhd,telecommunications,medium
vori,tech_software_internet,high
vyze-inc,consulting_professional_services,high
waterco-far-east-sdn-bhd,manufacturing,medium
wayflyer,finance_fintech,high
websummit,media_entertainment,high
westat,consulting_professional_services,high
weststar-aviation-services-sdn-bhd,defense_aerospace,high
wood,energy_utilities,high
zeal-network,tech_software_internet,high
zoetis,healthcare_pharma_biotech,high
zurich-north-america,finance_insurance,high
540,defense_aerospace,medium
7shifts,tech_software_internet,high
9-mothers,tech_hardware_semiconductors,medium
Cirrus Systems,tech_hardware_semiconductors,medium
MissionWired,media_entertainment,medium
Resilience Care,healthcare_provider,medium
abbott-laboratories-malaysia-sdn-bhd,healthcare_pharma_biotech,high
actblue,nonprofit,high
adamsstreetpartners,finance_fintech,high
adverum,healthcare_pharma_biotech,high
aechelontechnology,defense_aerospace,high
agwestfarmcredit,finance_banking,high
aha,tech_software_internet,high
ahmad-zaki-resources-berhad,real_estate_construction,high
alliance-contract-manufacturing-sdn-bhd,manufacturing,high
alliedbeverage,consumer_brands,medium
alt,retail_ecommerce,medium
amperos,tech_software_internet,high
ann-joo-steel-berhad,manufacturing,high
anydesk,tech_software_internet,high
apolis,consulting_professional_services,high
arenaclub,retail_ecommerce,medium
arevonenergyimpltest,energy_utilities,high
aro.homes,real_estate_construction,high
artemis,tech_software_internet,low
asg,tech_software_internet,high
atek,defense_aerospace,medium
ati,manufacturing,high
atticus,legal_services,high
auctor,tech_software_internet,medium
audibenehearcom,healthcare_devices,high
autoproff,automotive,medium
bar-council-malaysia,legal_services,high
benevity,tech_software_internet,high
bio-harvest-sdn-bhd,agriculture_food_production,medium
bishopfox,tech_software_internet,high
blain-s-farm-fleet-blain-supply-inc,retail_ecommerce,high
blend,tech_software_internet,high
bluestarfamilies,nonprofit,high
boom,tech_software_internet,low
bowman-williams,consulting_professional_services,high
braskem,manufacturing,high
calculated-hire,consulting_professional_services,high
cantor-fitzgerald,finance_banking,high
capgemini,consulting_professional_services,high
capstoneinvestmentadvisors,finance_fintech,high
carro,automotive,high
centivo,finance_insurance,high
chagee-m-sdn-bhd,hospitality_food_service,high
chanzuckerberginitiative,nonprofit,high
china-railway-engineering-corporation-m-sdn-bhd,real_estate_construction,high
cleveland-cliffs,manufacturing,high
coinflow,finance_fintech,high
column,finance_banking,high
compa,tech_software_internet,high
concourse,finance_fintech,high
coopersurgical,healthcare_devices,high
criminaljusticeagency,nonprofit,high
crosslaketech,consulting_professional_services,high
cy-plastic-recycling-sdn-bhd,manufacturing,medium
cybret,tech_software_internet,medium
cytora.com,tech_software_internet,high
dailywire,media_entertainment,high
danfoss,manufacturing,high
danone-dumex-m-sdn-bhd,consumer_brands,high
datasystemsanalystsinc,defense_aerospace,high
decisions,tech_software_internet,high
deliveryassociates,consulting_professional_services,high
destination-by-hyatt,hospitality_food_service,high
devtechnology,consulting_professional_services,high
digitalai,tech_software_internet,high
drsquatch,consumer_brands,high
ebenezer,healthcare_provider,high
educated-solutions-corp,consulting_professional_services,high
educationatwork,education_higher,high
elitez-pte-ltd,consulting_professional_services,high
emax-beaut-international-sdn-bhd,consumer_brands,medium
entersekt,tech_software_internet,high
envisionconsulting,nonprofit,high
esthetics-international-group-berhad,consumer_brands,high
everpass,tech_software_internet,high
fairmarkit,tech_software_internet,high
fanatee,gaming,high
fasttek-global,consulting_professional_services,high
fellow,consumer_brands,high
ferrotec-manufacturing-malaysia-sdn-bhd,manufacturing,high
ffm-berhad,agriculture_food_production,high
fi,tech_software_internet,medium
figure,finance_fintech,high
fiveringsllc,finance_fintech,high
flowcode,tech_software_internet,high
foodsmart,healthcare_provider,high
foresite-labs-fl2024-006,tech_hardware_semiconductors,medium
fortisgames,gaming,high
forum-ventures,finance_fintech,medium
fosphamarketing,tech_software_internet,high
frontify,tech_software_internet,high
fujifilm-business-innovation-asia-pacific-pte-ltd-malaysia-operations,tech_hardware_semiconductors,medium
galderma,healthcare_pharma_biotech,high
genuine-search-group,consulting_professional_services,high
givewell,nonprofit,high
gravisrobotics,manufacturing,medium
graymatter-robotics,manufacturing,medium
gridmatic,energy_utilities,high
growe,gaming,medium
gt-max-construction-sdn-bhd,real_estate_construction,high
haydenai,tech_software_internet,high
heath-consultants-incorporated,energy_utilities,high
hirewell,consulting_professional_services,high
hivemq,tech_software_internet,high
honeybook,tech_software_internet,high
horizontal-talent,consulting_professional_services,high
human,tech_software_internet,high
hydrogen-group,consulting_professional_services,high
ians,consulting_professional_services,high
innovid,media_entertainment,high
insight,consulting_professional_services,high
intrafi,finance_banking,high
ioi-city-mall,real_estate_construction,high
ioi-properties-group-southern,real_estate_construction,high
january,finance_fintech,high
kellymitchell-group,consulting_professional_services,high
kwang-tai-air-cond-refrigeration-equipment-sdn-bhd,real_estate_construction,medium
launchpotato,media_entertainment,medium
lavender-confectionery-bakery-sdn-bhd,agriculture_food_production,high
lbs-bina-group-berhad,real_estate_construction,high
leagueinc,tech_software_internet,high
leap,tech_software_internet,medium
lennar,real_estate_construction,high
levelup,consulting_professional_services,medium
lexisnexis-risk-solutions,tech_software_internet,high
litmos,tech_software_internet,high
london-approach,consulting_professional_services,high
lorven-technologies-inc,consulting_professional_services,high
lumicity,consulting_professional_services,high
magellan-financial-insurance-services-inc,finance_insurance,high
malaysia-steel-works-kl-bhd,manufacturing,high
mattel-malaysia-sdn-bhd,consumer_brands,high
mb-automation-malaysia-sdn-bhd,manufacturing,medium
memorial-sloan-kettering-cancer-center,healthcare_provider,high
metasys-technologies-inc,consulting_professional_services,high
mgb-berhad,real_estate_construction,medium
mhc-asia-group,finance_insurance,high
mimica,tech_software_internet,high
mims-medica-sdn-bhd,media_entertainment,medium
mineralystherapeutics,healthcare_pharma_biotech,high
minio,tech_software_internet,high
mintel,consulting_professional_services,high
mirakllabs,tech_software_internet,high
mixtiles,consumer_brands,high
moore,consulting_professional_services,high
mxm-international-sdn-bhd,consulting_professional_services,low
nascompany,media_entertainment,medium
nd-paper-malaysia-selangor-sdn-bhd,manufacturing,high
niro-ceramic-m-sdn-bhd,manufacturing,high
o2epcminc,real_estate_construction,high
offchainlabs,finance_fintech,high
okendo,tech_software_internet,high
omniscient,media_entertainment,medium
oneimaging,healthcare_provider,high
opusclip,tech_software_internet,high
orbitalindustries,tech_hardware_semiconductors,medium
ossiumhealth,healthcare_pharma_biotech,high
otrcapital1,transportation_logistics,high
outsourcedstaff,consulting_professional_services,high
outtake,tech_software_internet,medium
owens-minor,healthcare_devices,high
pallet,tech_software_internet,high
pape-dawson-engineers,consulting_professional_services,high
park-hyatt,hospitality_food_service,high
paycom,tech_software_internet,high
paycor,tech_software_internet,high
percepta,tech_software_internet,high
perionnetworkltd,media_entertainment,high
petrosains-sdn-bhd,nonprofit,medium
pexa,tech_software_internet,high
phillip-capital-group,finance_banking,high
pilothq,consulting_professional_services,high
pinnacle-partners-inc,consulting_professional_services,high
planworth-global-factoring-sdn-bhd,finance_fintech,high
plenti,finance_fintech,high
pne-electric-sdn-bhd,manufacturing,high
posh,tech_software_internet,high
pplm,healthcare_provider,high
precision-control-sdn-bhd,manufacturing,medium
pregis,manufacturing,high
pri-technology,consulting_professional_services,high
profluent,healthcare_pharma_biotech,high
qorvo-inc,tech_hardware_semiconductors,high
qualified,tech_software_internet,high
quantifind,tech_software_internet,high
r-e-a-l-education-group-sdn-bhd,education_k12,high
radley-james,consulting_professional_services,high
ramssol-group,consulting_professional_services,medium
red6,defense_aerospace,high
regalvoice,tech_software_internet,high
regeneron,healthcare_pharma_biotech,high
regionalcenteroftheeastbay,nonprofit,high
remotetcx,telecommunications,medium
renewedvision,tech_software_internet,high
resmed-malaysia-sdn-bhd,healthcare_devices,high
rite-of-passage,nonprofit,high
rtwinvestments,finance_fintech,high
rumble,media_entertainment,high
salutica-allied-solutions-sdn-bhd,manufacturing,high
samtec-asia-pacific-m-sdn-bhd,tech_hardware_semiconductors,high
sanabiotech,healthcare_pharma_biotech,high
sarawak-information-systems-sdn-bhd,consulting_professional_services,high
scandit,tech_software_internet,high
schreiber-foods,agriculture_food_production,high
seattlesoundersfc,media_entertainment,high
securities-and-exchange-commission,public_sector_government,high
select-source-international,consulting_professional_services,high
servicerocket,consulting_professional_services,high
sika,manufacturing,high
silnahealth.com,healthcare_provider,high
sky-zone,media_entertainment,high
sns-network-m-sdn-bhd,tech_software_internet,medium
software-technology-inc,consulting_professional_services,high
spanco-sdn-bhd,other,low
spark-foundry,media_entertainment,high
sphere,tech_software_internet,medium
spotandtango,consumer_brands,high
spritzer-bhd,consumer_brands,high
ssf-sdn-bhd,retail_ecommerce,medium
staidlogic,consulting_professional_services,high
stealth-healthtech-startup,healthcare_provider,medium
stedi,healthcare_provider,high
stylus-asia-sdn-bhd,consulting_professional_services,medium
sugarcrm,tech_software_internet,high
sunway-lagoon-sdn-bhd,media_entertainment,high
sysmind,consulting_professional_services,high
talkspace,healthcare_provider,high
techstar-group,consulting_professional_services,high
tecsa-software-services-sdn-bhd,consulting_professional_services,high
telli,tech_software_internet,medium
the-andersons-inc,agriculture_food_production,high
the-y-ymca,nonprofit,high
titan,finance_fintech,high
tollesonwealthmanagement,finance_fintech,high
treasury-departmental-offices,public_sector_government,high
trimark-usa,hospitality_food_service,high
trinitylogistics,transportation_logistics,high
uei,manufacturing,medium
uniqlo-malaysia-sdn-bhd,retail_ecommerce,high
univision,media_entertainment,high
upscale-sdn-bhd,other,low
utz-brands-inc,consumer_brands,high
valeriehealth,healthcare_provider,high
veritas-steel-llc,manufacturing,high
volvo-group,automotive,high
walgreens,retail_ecommerce,high
wallapop,tech_software_internet,high
warner-bros-discovery,media_entertainment,high
wealth-com,finance_fintech,high
wetravel,tech_software_internet,high
wheel,healthcare_provider,high
winton,finance_fintech,high
world-view-enterprises-inc.,defense_aerospace,high
worldlabs,tech_software_internet,high
x-fab-sarawak-sdn-bhd,tech_hardware_semiconductors,high
xtxmarketstechnologies,finance_fintech,high
yepoda,consumer_brands,high
zafinlabsamericasinc,tech_software_internet,high
zencore,consulting_professional_services,high
zenjob,consulting_professional_services,high
zimmer-biomet,healthcare_devices,high
zoro,retail_ecommerce,high
3imembers,finance_fintech,medium
4dmoleculartherapeutics,healthcare_pharma_biotech,high
51talk-training-sdn-bhd,education_k12,high
LuminDigital,tech_software_internet,high
a-look-eyewear-sdn-bhd,retail_ecommerce,high
abm-industries,real_estate_construction,high
activ8-recruitment-solutions,consulting_professional_services,high
adient,automotive,high
advance-borneo-engineering-sdn-bhd,manufacturing,medium
advantage-solutions,consulting_professional_services,high
agemark-senior-living,healthcare_provider,high
agent,tech_software_internet,medium
air-products,manufacturing,high
allyon-inc,defense_aerospace,medium
alternativepayments,finance_fintech,high
american-express-international-inc,finance_fintech,high
ampcus-inc,consulting_professional_services,high
anagram,finance_fintech,high
aperiatechnologies,manufacturing,high
arcosa-inc,manufacturing,high
armstrong-electronics-sdn-bhd,manufacturing,high
artisan,tech_software_internet,high
ase-electronics-m-sdn-bhd,tech_hardware_semiconductors,high
autodesk,tech_software_internet,high
awardco,tech_software_internet,high
axventure-sdn-bhd,real_estate_construction,medium
battelle,defense_aerospace,high
bausch-lomb,healthcare_devices,high
bayasystems,tech_hardware_semiconductors,high
bellroy,consumer_brands,high
benepass,finance_insurance,high
berean-group-international-inc,consulting_professional_services,high
bio,healthcare_pharma_biotech,high
bitmovin,tech_software_internet,high
blab,tech_software_internet,medium
blacklane,transportation_logistics,high
blacksmith,tech_software_internet,medium
blue-energy,energy_utilities,high
bluecurrent,manufacturing,medium
bluerivertech,tech_hardware_semiconductors,high
bluevineus,finance_fintech,high
bobbie,consumer_brands,high
bonia-corporation-berhad,retail_ecommerce,high
bowman-consulting,consulting_professional_services,high
brennan,manufacturing,medium
cafortune,consulting_professional_services,medium
cahya-mata-sarawak-management-services-sdn-bhd,manufacturing,medium
capitalfarmcredit,finance_banking,high
carlisle-construction-materials,manufacturing,high
carsem-m-sdn-bhd,tech_hardware_semiconductors,high
cbts,tech_software_internet,high
cedar-fair-entertainment-company,media_entertainment,high
celcomdigi,telecommunications,high
cenviro-sdn-bhd,energy_utilities,medium
chartbeatinc,tech_software_internet,high
chownow,tech_software_internet,high
clockworksystems,tech_software_internet,high
cloudious-llc,consulting_professional_services,high
cna-insurance,finance_insurance,high
coalition,finance_insurance,high
compass-connections,nonprofit,high
connerstrongbuckelew,finance_insurance,high
constellis,defense_aerospace,high
corelogic,tech_software_internet,high
cority,tech_software_internet,high
cradlebio,healthcare_pharma_biotech,high
crate-and-barrel,retail_ecommerce,high
crumbl,hospitality_food_service,high
cytiva,healthcare_pharma_biotech,high
cytokinetics,healthcare_pharma_biotech,high
dataannotation,tech_software_internet,high
dentsu-malaysia-sdn-bhd,media_entertainment,high
devino-international-consultancy-pte-ltd,consulting_professional_services,medium
diasorin,healthcare_devices,high
disk-precision-industries-m-sdn-bhd,manufacturing,high
dk-leather-seats-sdn-bhd,manufacturing,high
dm-dasher-sdn-bhd,retail_ecommerce,medium
dow,manufacturing,high
dr-clear-aligners,healthcare_devices,high
drs-it-solutions-inc,consulting_professional_services,high
duetti,media_entertainment,high
dunham-bush-industries-sdn-bhd,manufacturing,high
duriane-professionals-sdn-bhd,real_estate_construction,high
earnest,finance_fintech,high
echotwin,tech_software_internet,medium
edgeengineeringandscience,consulting_professional_services,high
eko,tech_software_internet,high
ektello,consulting_professional_services,high
eloquentai,tech_software_internet,high
emarketer,media_entertainment,high
empirical,consulting_professional_services,medium
enersys,manufacturing,high
equalexperts,consulting_professional_services,high
equinix,tech_software_internet,high
equipmentshare,real_estate_construction,high
esalen,hospitality_food_service,high
ethoz-equip-capital-berhad,finance_fintech,high
eurofins-pss-insourcing-solutions,healthcare_pharma_biotech,high
evergreen-goodwill-of-northwest-washington,nonprofit,high
exsim-development-sdn-bhd,real_estate_construction,high
fambrands,consumer_brands,high
fanvue.com,tech_software_internet,high
finalroundai,tech_software_internet,high
fiserv,finance_fintech,high
fluxon,consulting_professional_services,high
footanstey,legal_services,high
fractional-ai,consulting_professional_services,high
freeman-company,media_entertainment,high
frontier-internet,telecommunications,high
fullstory,tech_software_internet,high
galepartners,media_entertainment,high
